original	original_phase2	gsed	gsed2	gsed3	sequential	instrument	seq_phase1	seq_phase2	label
bsid_ec37		by3exd037	by3exd037		ec37				Names Action Picture Series: 5 Pictures
bsid_ec38		by3exd038	by3exd038		ec38				Uses plurals
bsid_ec39		by3exd039	by3exd039		ec39				Answers what or where questions
bsid_ec40		by3exd040	by3exd040		ec40				Uses possessives
bsid_ec41		by3exd041	by3exd041		ec41				Names 4 colours
bsid_ec42		by3exd042	by3exd042		ec42				Answers questions logically (Related to functions)
bsid_ec43		by3exd043	by3exd043		ec43				Tells how an object is used
bsid_ec44		by3exd044	by3exd044		ec44				Uses prepositions
bsid_ec45		by3exd045	by3exd045		ec45				Uses present progressive form
bsid_ec46		by3exd046	by3exd046		ec46				Describes Pictures Series: Uses 4-5 word sentences
bsid_ec47		by3exd047	by3exd047		ec47				Describes Pictures Series: Uses past tense
bsid_ec48		by3exd048	by3exd048		ec48				Describes Pictures Series: Uses future tense
bsid_fm01		by3fmd001	by3fmd001		fm01				Hands are fisted
bsid_fm02		by3fmd002	by3fmd002		fm02				Eyes follow  moving person
bsid_fm03		by3fmd003	by3fmd003		fm03				Eyes follow ring horizontal
bsid_fm04		by3fmd004	by3fmd004		fm04				Eyes follow ring vertical
bsid_fm05		by3fmd005	by3fmd005		fm05				Attempts to bring hand to mouth
bsid_fm06		by3fmd006	by3fmd006		fm06				Retains ring
bsid_fm07		by3fmd007	by3fmd007		fm07				Eyes follow ring circular
bsid_fm08		by3fmd008	by3fmd008		fm08				Head follow ring
bsid_fm09		by3fmd009	by3fmd009		fm09				Eyes follow rolling ball
bsid_fm10		by3fmd010	by3fmd010		fm10				Keeps hand open
bsid_fm11		by3fmd011	by3fmd011		fm11				Rotates wrist
bsid_fm12		by3fmd012	by3fmd012		fm12				Grasps suspended ring
bsid_fm13		by3fmd013	by3fmd013		fm13				Blocks series reaches for block
bsid_fm14		by3fmd014	by3fmd014		fm14				Touches block
bsid_fm15		by3fmd015	by3fmd015		fm15				Block Series: Whole hand grasp
bsid_fm16		by3fmd016	by3fmd016		fm16				Reaches unilaterally
bsid_fm17		by3fmd017	by3fmd017		fm17				Food Pellet Series: Raking grasp
bsid_fm18		by3fmd018	by3fmd018		fm18				Block Series: Partial thumb opposition
bsid_fm19		by3fmd019	by3fmd019		fm19				Transfers ring
bsid_fm20		by3fmd020	by3fmd020		fm20				Food Pellet Series: Whole hand grasp
bsid_fm21		by3fmd021	by3fmd021		fm21				Transfers block
bsid_fm22		by3fmd022	by3fmd022		fm22				Block Series: Thumb-fingertip grasp
bsid_fm23		by3fmd023	by3fmd023		fm23				Brings spoons or blocks to midline
bsid_fm24		by3fmd024	by3fmd024		fm24				Food Pellet Series: Partial thumb opposition
bsid_fm25		by3fmd025	by3fmd025		fm25				Lifts cup by the handle
bsid_fm26		by3fmd026	by3fmd026		fm26				Food Pellet Series: Thumb-fingertip grasp
bsid_fm27		by3fmd027	by3fmd027		fm27				Turns pages of books
bsid_fm28		by3fmd028	by3fmd028		fm28				Grasp series: Palmar grasp
bsid_fm29		by3fmd029	by3fmd029		fm29				Isolates extended ring finger
bsid_fm30		by3fmd030	by3fmd030		fm30				Scribbles spontaneously
bsid_fm31		by3fmd031	by3fmd031		fm31				Block Stacking Series: 2 blocks
bsid_fm32		by3fmd032	by3fmd032		fm32				Imitates Stroke Series: Random
bsid_fm33		by3fmd033	by3fmd033		fm33				Places 10 pellets in bottle (60 seconds)
bsid_fm34		by3fmd034	by3fmd034		fm34				Grasp series: Transitional grasp
bsid_fm35		by3fmd035	by3fmd035		fm35				Coins in slot
bsid_fm36		by3fmd036	by3fmd036		fm36				Connecting Blocks: Apart
bsid_fm37		by3fmd037	by3fmd037		fm37				Grasp Series: Intermediate (Tripod) grasp
bsid_fm38		by3fmd038	by3fmd038		fm38				Block stacking Series: 6 blocks
bsid_fm39		by3fmd039	by3fmd039		fm39				Uses hand to hold paper in place
bsid_fm40		by3fmd040	by3fmd040		fm40				Imitates Strokes Series: Horizontal
bsid_fm41		by3fmd041	by3fmd041		fm41				Imitates Strokes Series: Vertical
bsid_fm42		by3fmd042	by3fmd042		fm42				Connecting Blocks: Together
bsid_fm43		by3fmd043	by3fmd043		fm43				Imitates Strokes Series: Circular
bsid_fm44		by3fmd044	by3fmd044		fm44				Builds train of blocks
bsid_fm45		by3fmd045	by3fmd045		fm45				Strings 3 blocks
bsid_fm46		by3fmd046	by3fmd046		fm46				Imitates hand movements
bsid_fm47		by3fmd047	by3fmd047		fm47				Snips paper
bsid_fm48		by3fmd048	by3fmd048		fm48				Grasp Series: Dynamic grasp
bsid_fm49		by3fmd049	by3fmd049		fm49				Tactilely discriminates shapes
bsid_fm50		by3fmd050	by3fmd050		fm50				Builds wall
bsid_fm51		by3fmd051	by3fmd051		fm51				Cuts paper
bsid_fm52		by3fmd052	by3fmd052		fm52				Builds bridge
bsid_fm53		by3fmd053	by3fmd053		fm53				Imitates plus sign
bsid_fm54		by3fmd054	by3fmd054		fm54				Block stacking Series: 8 blocks
bsid_fm55		by3fmd055	by3fmd055		fm55				Cuts on line
bsid_fm56		by3fmd056	by3fmd056		fm56				Builds T
bsid_fm57		by3fmd057	by3fmd057		fm57				Buttons 1 button
bsid_fm58		by3fmd058	by3fmd058		fm58				Builds steps
bsid_fm59		by3fmd059	by3fmd059		fm59				Traces designs
bsid_fm60		by3fmd060	by3fmd060		fm60				Imitates square
bsid_fm61		by3fmd061	by3fmd061		fm61				Copies plus sign
bsid_fm62		by3fmd062	by3fmd062		fm62				Tapbs fingers
bsid_fm63		by3fmd063	by3fmd063		fm63				Places 20 pellets in bottle
bsid_fm64		by3fmd064	by3fmd064		fm64				Cuts circle
bsid_fm65		by3fmd065	by3fmd065		fm65				Cuts square
bsid_fm66		by3fmd066	by3fmd066		fm66				Copies square
bsid_gsm01		by3gmd001	by3gmd001		gsm01				Thursts legs in play
bsid_gsm02		by3gmd002	by3gmd002		gsm02				Thrusts arms in play
bsid_gsm03		by3gmd003	by3gmd003		gsm03				Controls head while upright series: lifts head
bsid_gsm04		by3gmd004	by3gmd004		gsm04				Controls head while upright series: 3 secs
bsid_gsm05		by3gmd005	by3gmd005		gsm05				Turns head to side
bsid_gsm06		by3gmd006	by3gmd006		gsm06				Makes crawling movements
bsid_gsm07		by3gmd007	by3gmd007		gsm07				Controls head in dorsal suspension
bsid_gsm08		by3gmd008	by3gmd008		gsm08				Controls head in ventral suspension
bsid_gsm09		by3gmd009	by3gmd009		gsm09				Controls head while upright Series: 15 seconds
bsid_gsm10		by3gmd010	by3gmd010		gsm10				Holds head in midline
bsid_gsm11		by3gmd011	by3gmd011		gsm11				Holds head upright while carried
bsid_gsm12		by3gmd012	by3gmd012		gsm12				Controls head while prone Series: 45 degrees
bsid_gsm13		by3gmd013	by3gmd013		gsm13				Rights head
bsid_gsm14		by3gmd014	by3gmd014		gsm14				Rolls from side to back
bsid_gsm15		by3gmd015	by3gmd015		gsm15				Elevates trunk while Prone Series: Elbows and forearms
bsid_gsm16		by3gmd016	by3gmd016		gsm16				Sits with Support Series: Briefly
bsid_gsm17		by3gmd017	by3gmd017		gsm17				Controls head while prone Series: 90 degrees
bsid_gsm18		by3gmd018	by3gmd018		gsm18				Elevates trunk while prone
bsid_gsm19		by3gmd019	by3gmd019		gsm19				Sits with Support Series: 30 seconds
bsid_gsm20		by3gmd020	by3gmd020		gsm20				Rolls from back to sides
bsid_gsm21		by3gmd021	by3gmd021		gsm21				Elevates Trunk while Prone Series: Extended arms
bsid_gsm22		by3gmd022	by3gmd022		gsm22				Sits with Support Series: 5 seconds
bsid_gsm23		by3gmd023	by3gmd023		gsm23				Pulls up to sit
bsid_gsm24		by3gmd024	by3gmd024		gsm24				Grasps foot with hands
bsid_gsm25		by3gmd025	by3gmd025		gsm25				Rolls from back to stomach
bsid_gsm26		by3gmd026	by3gmd026		gsm26				Sits without Support Series: 30 seconds
bsid_gsm27		by3gmd027	by3gmd027		gsm27				Sits without support and holds objects
bsid_gsm28		by3gmd028	by3gmd028		gsm28				Rotates trunk while seated
bsid_gsm29		by3gmd029	by3gmd029		gsm29				Makes stepping movements
bsid_gsm30		by3gmd030	by3gmd030		gsm30				Crawls Series: On stomach
bsid_gsm31		by3gmd031	by3gmd031		gsm31				Crawls Series: Crawl position
bsid_gsm32		by3gmd032	by3gmd032		gsm32				Moves from sitting to hands and knees
bsid_gsm33		by3gmd033	by3gmd033		gsm33				Supports weight
bsid_gsm34		by3gmd034	by3gmd034		gsm34				Crawls Series: Crawl movement
bsid_gsm35		by3gmd035	by3gmd035		gsm35				Raises self to standing position
bsid_gsm36		by3gmd036	by3gmd036		gsm36				Bounces while standing
bsid_gsm37		by3gmd037	by3gmd037		gsm37				Walks Series: With support
bsid_gsm38		by3gmd038	by3gmd038		gsm38				Walks sideways with support
bsid_gsm39		by3gmd039	by3gmd039		gsm39				Sits down with control
bsid_gsm40		by3gmd040	by3gmd040		gsm40				Stands alone
bsid_gsm41		by3gmd041	by3gmd041		gsm41				Stands up Series: Alone
bsid_gsm42		by3gmd042	by3gmd042		gsm42				Walks Series: Alone
bsid_gsm43		by3gmd043	by3gmd043		gsm43				Walks Series: Alone with coordination
bsid_gsm44		by3gmd044	by3gmd044		gsm44				Throws ball
bsid_gsm45		by3gmd045	by3gmd045		gsm45				Squats without support
bsid_gsm46		by3gmd046	by3gmd046		gsm46				Stands up Series: Mature
bsid_gsm47		by3gmd047	by3gmd047		gsm47				Walks Up Stairs Series: Both feet on each step, with support.
bsid_gsm48		by3gmd048	by3gmd048		gsm48				Walks backward 2 steps
bsid_gsm49		by3gmd049	by3gmd049		gsm49				Walks Down Stairs Series: Both feet on each step, with support
bsid_gsm50		by3gmd050	by3gmd050		gsm50				Runs with coordination
bsid_gsm51		by3gmd051	by3gmd051		gsm51				Balances on Right Foot Series: With support
bsid_gsm52		by3gmd052	by3gmd052		gsm52				Balances on Left Foot Series: With support
bsid_gsm53		by3gmd053	by3gmd053		gsm53				Walks sideways without support
bsid_gsm54		by3gmd054	by3gmd054		gsm54				Jumps from bottom step
bsid_gsm55		by3gmd055	by3gmd055		gsm55				Kicks ball
bsid_gsm56		by3gmd056	by3gmd056		gsm56				Walks forward on path
bsid_gsm57		by3gmd057	by3gmd057		gsm57				Walks Up Stairs Series: Both feet on each step, alone.
bsid_gsm58		by3gmd058	by3gmd058		gsm58				Walks Down Stairs Series: Both feet on each step, alone
bsid_gsm59		by3gmd059	by3gmd059		gsm59				Jumps Forward Series: 4 inches
bsid_gsm60		by3gmd060	by3gmd060		gsm60				Balances on right Foot Series: 2 seconds, alone
bsid_gsm61		by3gmd061	by3gmd061		gsm61				Balances on Left Foot Series: 2 seconds, alone
bsid_gsm62		by3gmd062	by3gmd062		gsm62				Walks on tiptoes 4 steps
bsid_gsm63		by3gmd063	by3gmd063		gsm63				Walks backward close to path
bsid_gsm64		by3gmd064	by3gmd064		gsm64				Walks Up Stairs Series: Alternating feet, alone
bsid_gsm65		by3gmd065	by3gmd065		gsm65				Imitates postures
bsid_gsm66		by3gmd066	by3gmd066		gsm66				Stops from a full run
bsid_gsm67		by3gmd067	by3gmd067		gsm67				Walks Down Stairs Series: Alternating feet, alone
bsid_gsm68		by3gmd068	by3gmd068		gsm68				Hops 5 feet
bsid_gsm69		by3gmd069	by3gmd069		gsm69				Balances on Right Foot Series: 8 seconds, alone
bsid_gsm70		by3gmd070	by3gmd070		gsm70				Balances on Left Foot Series: 8 seconds, alone
bsid_gsm71		by3gmd071	by3gmd071		gsm71				Walks heel to toe
bsid_gsm72		by3gmd072	by3gmd072		gsm72				Jumps Forward Series: 24 inches
